alternative,n,time_steps,ghost_cells,cores,run,kernel_time,effective_time
2d-lsb,1000,1000,1,1,0,1848171.4019750003,1859712.0367410004
2d-lsb,1000,1000,1,1,1,1847866.414635,1857428.4864120001
2d-lsb,1000,1000,1,1,2,1846891.3638900002,1862527.7349840002
2d-lsb,1000,1000,1,1,3,1845149.782354,1857514.9322560001
2d-lsb,1000,1000,1,1,4,1847530.6236429997,1861319.1285259996
2d-lsb,1000,1000,1,1,5,1847731.2354840003,1859125.3512070002
2d-lsb,1000,1000,1,1,6,1845660.3482650002,1859607.0123270003
2d-lsb,1000,1000,1,1,7,1851049.9991330002,1863867.4639770002
2d-lsb,1000,1000,1,1,8,1845391.8218560002,1858680.8291800001
2d-lsb,1000,1000,1,1,9,1851800.4082700002,1863231.0855160002
2d-lsb,1000,1000,1,4,0,1928720.726592,1975001.70169
2d-lsb,1000,1000,1,4,1,1931684.497576,1990924.433611
2d-lsb,1000,1000,1,4,2,1927459.071758,1972469.178203
2d-lsb,1000,1000,1,4,3,1935811.272471,1986203.430186
2d-lsb,1000,1000,1,4,4,1933344.649891,1983369.820789
2d-lsb,1000,1000,1,4,5,1924050.2939320002,1978663.766588
2d-lsb,1000,1000,1,4,6,1930898.884295,1976279.937518
2d-lsb,1000,1000,1,4,7,1939439.04152,1982494.053727
2d-lsb,1000,1000,1,4,8,1888681.796888,1947358.396986
2d-lsb,1000,1000,1,4,9,1920040.8286200003,1972256.3798900002
2d-lsb,1000,1000,1,9,0,2335536.359856,2437667.93261
2d-lsb,1000,1000,1,9,1,2398992.431153,2523280.706056
2d-lsb,1000,1000,1,9,2,2303570.148442,2446155.9340870003
2d-lsb,1000,1000,1,9,3,2264524.8115020003,2376661.5073030004
2d-lsb,1000,1000,1,9,4,2402298.32472,2492219.661146
2d-lsb,1000,1000,1,9,5,2391271.787599,2483974.076173
2d-lsb,1000,1000,1,9,6,2385252.283695,2496280.637211
2d-lsb,1000,1000,1,9,7,2414163.970187,2512679.841281
2d-lsb,1000,1000,1,9,8,2284317.518551,2383911.352535
2d-lsb,1000,1000,1,9,9,2347090.0307449996,2470344.3574049994
2d-lsb,1000,1000,1,16,0,2734376.1171709998,2946255.1367039997
2d-lsb,1000,1000,1,16,1,2663392.7075010003,2836881.248548
2d-lsb,1000,1000,1,16,2,2611717.661608,2779886.410169
2d-lsb,1000,1000,1,16,3,2654588.324709,2904432.072262
2d-lsb,1000,1000,1,16,4,2612427.640639,2780352.408196
2d-lsb,1000,1000,1,16,5,2659289.8999199998,2869503.663582
2d-lsb,1000,1000,1,16,6,2677393.119129,2847025.801746
2d-lsb,1000,1000,1,16,7,2643979.1210740004,2825447.8056440004
2d-lsb,1000,1000,1,16,8,2654895.150381,2855841.6318519996
2d-lsb,1000,1000,1,16,9,2696949.7866079994,2876820.582016
2d-lsb,1000,1000,1,25,0,3863403.3789060004,4237941.419914001
2d-lsb,1000,1000,1,25,1,3932809.3061659997,4197041.194834
2d-lsb,1000,1000,1,25,2,3876193.272978,4283614.387209
2d-lsb,1000,1000,1,25,3,3886861.731446,4287874.0385839995
2d-lsb,1000,1000,1,25,4,3811018.087888,4158122.326676
2d-lsb,1000,1000,1,25,5,3795114.607422,4102225.038096
2d-lsb,1000,1000,1,25,6,3898431.4018439995,4142282.967756
2d-lsb,1000,1000,1,25,7,3877787.88378,4175721.627433
2d-lsb,1000,1000,1,25,8,4100219.996089,4338259.46487
2d-lsb,1000,1000,1,25,9,3896747.5644520004,4157782.725096
2d-lsb,1000,1000,1,36,0,4895664.172364,5337487.0210029995
2d-lsb,1000,1000,1,36,1,4777475.205065,5176422.981432
2d-lsb,1000,1000,1,36,2,4910123.520016,5448341.272978
2d-lsb,1000,1000,1,36,3,4782169.2377780005,5275276.412103
2d-lsb,1000,1000,1,36,4,4774837.01513,5257840.4160090005
2d-lsb,1000,1000,1,36,5,4755604.251473,5226183.560555
2d-lsb,1000,1000,1,36,6,4757355.600102,5203479.804692
2d-lsb,1000,1000,1,36,7,4978601.430656,5442363.847648
2d-lsb,1000,1000,1,36,8,4823130.466307,5280904.173827
2d-lsb,1000,1000,1,36,9,4803726.305179,5291058.197269
